tag,from,to
2025_02,2025.02.01,2025.03.01
2025_03,2025.03.01,2025.04.01
2025_04,2025.04.01,2025.05.01
2025_05,2025.05.01,2025.06.01
2025_06,2025.06.01,2025.07.01
2025_07,2025.07.01,2025.08.01
2025_08,2025.08.01,2025.09.01
2025_09,2025.09.01,2025.10.01
2025_10,2025.10.01,2025.11.01
2025_11,2025.11.01,2025.12.01
2025_12,2025.12.01,2026.01.01
2026_01,2026.01.01,2026.02.01
2026_02,2026.02.01,2026.03.01
2026_03,2026.03.01,2026.04.01
2026_04,2026.04.01,2026.05.01
2026_05,2026.05.01,2026.06.01
2026_06,2026.06.01,2026.07.01
2026_07,2026.07.01,2026.08.01
